GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - Has a computer:,Margin of Error; Under 18 years: - Has a computer:,Estimate; Under 18 years: - Has a computer: - With dial-up Internet subscription alone,Margin of Error; Under 18 years: - Has a computer: - With dial-up Internet subscription alone,Estimate; Under 18 years: - Has a computer: - With a broadband Internet subscription,Margin of Error; Under 18 years: - Has a computer: - With a broadband Internet subscription,Estimate; Under 18 years: - Has a computer: - Without an Internet subscription,Margin of Error; Under 18 years: - Has a computer: - Without an Internet subscription,Estimate; Under 18 years: - No computer,Margin of Error; Under 18 years: - No computer,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - Has a computer:,Margin of Error; 18 to 64 years: - Has a computer:,Estimate; 18 to 64 years: - Has a computer: - With dial-up Internet subscription alone,Margin of Error; 18 to 64 years: - Has a computer: - With dial-up Internet subscription alone,Estimate; 18 to 64 years: - Has a computer: - With a broadband Internet subscription,Margin of Error; 18 to 64 years: - Has a computer: - With a broadband Internet subscription,Estimate; 18 to 64 years: - Has a computer: - Without an Internet subscription,Margin of Error; 18 to 64 years: - Has a computer: - Without an Internet subscription,Estimate; 18 to 64 years: - No computer,Margin of Error; 18 to 64 years: - No computer,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - Has a computer:,Margin of Error; 65 years and over: - Has a computer:,Estimate; 65 years and over: - Has a computer: - With dial-up Internet subscription alone,Margin of Error; 65 years and over: - Has a computer: - With dial-up Internet subscription alone,Estimate; 65 years and over: - Has a computer: - With a broadband Internet subscription,Margin of Error; 65 years and over: - Has a computer: - With a broadband Internet subscription,Estimate; 65 years and over: - Has a computer: - Without an Internet subscription,Margin of Error; 65 years and over: - Has a computer: - Without an Internet subscription,Estimate; 65 years and over: - No computer,Margin of Error; 65 years and over: - No computer
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",142506,1526,34469,2210,32808,2318,44,76,27633,2169,5131,1719,1661,909,93511,2599,86299,2904,207,252,74328,3793,11764,2600,7212,1555,14526,1688,9180,1388,113,138,7376,1271,1691,661,5346,1251
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",81442,897,15622,1989,15406,2015,0,198,14629,2026,777,562,216,271,54762,2555,52590,3003,67,109,49104,3270,3419,1398,2172,1189,11058,1949,8143,1645,223,216,7618,1604,302,241,2915,1057
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",87765,413,16381,2097,16134,2172,0,198,15823,2140,311,292,247,420,58709,2192,56974,2456,139,139,53830,2759,3005,1832,1735,1047,12675,1692,10992,1605,202,166,9836,1561,954,506,1683,526
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",127693,513,27140,2309,26670,2348,0,198,26138,2356,532,417,470,454,85282,2819,82188,2989,0,198,78624,3388,3564,1852,3094,1491,15271,2294,12099,2134,0,198,10712,1964,1387,717,3172,949
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",115986,1593,29286,2560,25885,2632,65,78,19654,2419,6166,1719,3401,1378,75280,2715,64994,2741,199,213,52158,3304,12637,2604,10286,1693,11420,1730,7268,1399,66,80,5867,1342,1335,532,4152,1063
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",70020,869,17996,1947,16174,1859,0,198,13405,2049,2769,1195,1822,1082,44317,2135,38370,2445,0,198,33137,2495,5233,1934,5947,1685,7707,1549,4268,986,0,198,3868,951,400,311,3439,1070
0600000US0900952070,0900952070,"New Haven town, New Haven County, Connecticut",120761,1887,29760,2595,26988,2294,452,684,23392,2501,3144,1431,2772,1540,80162,2703,72085,3810,476,618,63957,4481,7652,2475,8077,2452,10839,1450,7640,1166,80,78,6972,1139,588,293,3199,829
0600000US0900980070,0900980070,"Waterbury town, New Haven County, Connecticut",106889,603,26460,2492,25314,2499,0,198,19801,2356,5513,1865,1146,725,67815,2537,61260,2992,131,219,50662,3453,10467,2422,6555,1902,12614,1754,6645,1276,146,174,5327,1154,1172,524,5969,1300
